Title,Excerpt,Pub_Date
Gartners Magic Quadrants A summary of cloud InfrastructureasaService provider over the last 5 year,Gartners Magic Quadrants wa one of the the first industry report I read which covered where the cloud vendor were headed and what their strength and weakness were I took some time to consolidate the Gartner finding over the last 5 year for comparison,Sep 2018
TweetToot Building a bot for Mastodon using Python,I joined the Mastodon social network in 2016 and felt a need for building a Twitter relay We all left the birdsite for many reason but not the people we met So this project is a way to bring some of them over to Mastodon in practice if not in spirit,Sep 2018
Moving from CloudFlare to StackPath,I love Cloudflare but after facing some issue with TTFB I decided to move to StackPath which proved to be a lot faster and featurerich,Jul 2018
Understanding vendor lockin and breaking the cycle,I went through one of Gartners report and it say the key to breaking vendor lockin is to commit fully to a single technology vendor be it a cloud software provider a social network or our favorite sharing app It seems controversial on the surface but I wanted to jot down some quick note Maybe the approach is worth experimenting with,Jul 2018
Rolling cluster for deployment with Terraform,Terraform enables more than infrastructure provisioning you can even use it for deployment Combine it with Packer and you can have a very powerful immutable rolling deployment pipeline,Jul 2018
Working with Terraform Modules,Terraforms Modules feature allows quickly building reusable infrastructure template to provision cloud environment repeatably These note will help set up a basic application for highavailability,Jul 2018
Getting started with Terraform,A basic walkthrough of Terraform the opensource cloudagnostic IaC tool by HashiCorp the maker of Vagrant,Oct 2017
Upgrading to HTTP2,It is about time we all move our web property to HTTP2 I list down some gotchas for those looking to migrate,Sep 2017
HTTP security header ReferrerPolicy,The web is a collection of interconnected page This mean chance are good that someone landing on your website is coming from another one and when they leave your website they take a lot of identifiable information with them HTTP2 allows you to control what happens to the referrer information when user leave your website,Sep 2017
HTTP security header XContentTypeOptions,HTTP2 introduced a new feature which basically just turn off an old default feature the browser hankering for figuring out the content type of a resource Why and how should we turn it off,Sep 2017
HTTP security header XFrameOptions,Inlineframes enable very basic phishing attack You can just include a bank main website within your own website and lure the user to handover their password HTTP2 come with builtin protection against this kind of threat,Sep 2017
HTTP security header HTTPStrictTransportSecurity,HSTS is a security feature which prevents user from accessing your website over nonsecure HTTP It come with HTTP2 is easy to turn on but very hard to turn off Here is the why and how,Sep 2017
HTTP security header XXSSProtection,HTTP2 come with builtin protection for XSS Here is what it doe and how to turn it on,Sep 2017
HTTP security header ContentSecurityPolicy,HTTP2s CSP let u you define a whitelist of what is allowed and what is blocked on your website This let u browser block thirdparty tracker which try to annoyharm your user Here is the why and how,Sep 2017
